edge_id,i,j,conductance
0,0,1,0.1
1,0,2,0.1
2,0,3,0.1
3,0,4,0.1
4,0,5,0.1
5,0,6,0.1
6,0,7,0.1
7,0,8,0.1
8,0,9,0.1
9,0,10,0.1
10,0,11,0.1
11,0,12,0.1
12,0,13,0.1
13,0,14,0.1
14,0,15,0.1
15,1,2,0.1
16,1,3,0.1
17,1,4,0.1
18,1,5,0.1
19,1,6,0.1
20,1,7,0.1
21,1,8,0.1
22,1,9,0.1
23,1,10,0.1
24,1,11,0.1
25,1,12,0.1
26,1,13,0.1
27,1,14,0.1
28,1,15,0.1
29,2,3,0.1
30,2,4,0.1
31,2,5,0.1
32,2,6,0.1
33,2,7,0.1
34,2,8,0.1
35,2,9,0.1
36,2,10,0.1
37,2,11,0.1
38,2,12,0.1
39,2,13,0.1
40,2,14,0.1
41,2,15,0.1
42,3,4,0.1
43,3,5,0.1
44,3,6,0.1
45,3,7,0.1
46,3,8,0.1
47,3,9,0.1
48,3,10,0.1
49,3,11,0.1
50,3,12,0.1
51,3,13,0.1
52,3,14,0.1
53,3,15,0.1
54,4,5,0.1
55,4,6,0.1
56,4,7,0.1
57,4,8,0.1
58,4,9,0.1
59,4,10,0.1
60,4,11,0.1
61,4,12,0.1
62,4,13,0.1
63,4,14,0.1
64,4,15,0.1
65,5,6,0.1
66,5,7,0.1
67,5,8,0.1
68,5,9,0.1
69,5,10,0.1
70,5,11,0.1
71,5,12,0.1
72,5,13,0.1
73,5,14,0.1
74,5,15,0.1
75,6,7,0.1
76,6,8,0.1
77,6,9,0.1
78,6,10,0.1
79,6,11,0.1
80,6,12,0.1
81,6,13,0.1
82,6,14,0.1
83,6,15,0.1
84,7,8,0.1
85,7,9,0.1
86,7,10,0.1
87,7,11,0.1
88,7,12,0.1
89,7,13,0.1
90,7,14,0.1
91,7,15,0.1
92,8,9,0.1
93,8,10,0.1
94,8,11,0.1
95,8,12,0.1
96,8,13,0.1
97,8,14,0.1
98,8,15,0.1
99,9,10,0.1
100,9,11,0.1
101,9,12,0.1
102,9,13,0.1
103,9,14,0.1
104,9,15,0.1
105,10,11,0.1
106,10,12,0.1
107,10,13,0.1
108,10,14,0.1
109,10,15,0.1
110,11,12,0.1
111,11,13,0.1
112,11,14,0.1
113,11,15,0.1
114,12,13,0.1
115,12,14,0.1
116,12,15,0.1
117,13,14,0.1
118,13,15,0.1
119,14,15,0.1
