epsilon,sample_index,cluster_id,final_bits,stable,residual_norm,max_real_eig,x_initial,y_initial,x_final,y_final
0.0,0,3,001,1,2.3075552e-16,-1.1298438,-1.0906559 -0.73296664 1.1894618,0.52876401 -0.32667135 -0.50155822,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,1,4,000,1,2.3075552e-16,-1.1298438,0.39323501 -1.2530633 0.69102418,1.3254086 -0.75526286 1.3466435,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,2,3,001,1,2.3075552e-16,-1.1298438,0.66894981 -1.6164083 -0.23264134,1.1594398 0.5923605 -0.52058141,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,3,5,100,1,2.3075552e-16,-1.1298438,0.93571265 -1.1194602 -1.6736217,-1.0203132 -0.47969945 -0.10442054,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,4,1,110,1,2.3075552e-16,-1.1298438,-0.93431589 1.2631056 -1.2268224,-1.1115928 -1.2250057 0.29570404,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,5,5,100,1,2.3075552e-16,-1.1298438,1.4189676 0.40648497 1.7279534,0.67434408 1.081654 1.2880134,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,6,1,110,1,2.3075552e-16,-1.1298438,0.18474404 1.7506918 -0.02004824,-0.67868045 -0.14466388 0.49511677,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,7,0,010,1,2.3075552e-16,-1.1298438,-0.67643628 1.613816 -0.9717033,-0.48051499 -0.7234398 -0.43366056,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,8,7,111,1,1.93574e-16,-1.1298438,-1.9799107 0.51441818 -0.87046917,-1.2957369 0.35048693 -0.97102104,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,9,5,100,1,1.93574e-16,-1.1298438,-0.78244645 -0.23645276 -1.3991906,-0.84621341 -0.077000654 -0.070893435,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,10,3,001,1,1.93574e-16,-1.1298438,-0.97907058 -0.80973893 -0.88373152,-0.71826236 -0.051715222 -0.86406289,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,11,2,101,1,2.3075552e-16,-1.1298438,-0.017477613 -1.0149547 1.3539306,-0.95960823 1.0864689 -0.96510167,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,12,6,011,1,1.93574e-16,-1.1298438,1.0021253 0.44448162 -1.1633799,0.77961726 -0.75221829 -1.2432848,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
