edge_id,i,j,conductance
0,0,1,4.79599907533e-10
1,0,2,4.74671802894e-11
2,0,3,1.25817033457e-12
3,0,4,0.0389433233702
4,0,5,8.15199137689e-18
5,0,6,3.36715304236e-10
6,0,7,0.1
7,0,8,0.1
8,0,9,3.45603482535e-12
9,0,10,1.59784016401e-13
10,0,11,3.70303766296e-10
11,0,12,2.73845524432e-10
12,0,13,1.38933303849e-11
13,0,14,3.15936477403e-11
14,0,15,0.1
15,0,16,0.1
16,0,17,1.57175353498e-10
17,0,18,1.72843120825e-10
18,0,19,3.90954821079e-10
19,0,20,1.6390126658e-10
20,0,21,1.55808411523e-15
21,0,22,1.19134230271e-10
22,0,23,0.1
23,0,24,0.1
24,0,25,2.45929379596e-10
25,0,26,3.9223009509e-10
26,0,27,1.08006854269e-10
27,0,28,1.27338075033e-17
28,0,29,1.97441771137e-14
29,0,30,3.17493132221e-10
30,0,31,0.1
31,0,32,0.1
32,0,33,1.81922699448e-10
33,0,34,2.48202510651e-10
34,0,35,1.75991062784e-10
35,0,36,2.72660559844e-10
36,0,37,1.13293931619e-10
37,0,38,1.37336069388e-11
38,0,39,0.1
39,0,40,0.1
40,0,41,8.95004187232e-11
41,0,42,3.03783462914e-11
42,0,43,4.72134741017e-10
43,0,44,1.85382249227e-10
44,0,45,6.25869135745e-11
45,0,46,2.35908979041e-10
46,0,47,0.1
47,0,48,0.1
48,0,49,4.79192575938e-10
49,0,50,3.51439743443e-12
50,0,51,0.120153101617
51,0,52,0.131783091465
52,0,53,1.24625018565e-14
53,0,54,3.36553367221e-10
54,0,55,0.1
55,0,56,0.1
56,0,57,0.1
57,0,58,0.1
58,0,59,0.1
59,0,60,0.1
60,0,61,0.1
61,0,62,0.1
62,0,63,0.1
63,1,2,2.1541065492e-11
64,1,3,7.21183157437e-11
65,1,4,5.51719003242e-10
66,1,5,4.08776381555e-11
67,1,6,0.1
68,1,7,3.26936789308e-10
69,1,8,3.22012945414e-10
70,1,9,3.20304687951e-11
71,1,10,4.41211635457e-11
72,1,11,3.75212265651e-11
73,1,12,4.32174030383e-11
74,1,13,4.45082802479e-11
75,1,14,3.89593387553e-11
76,1,15,3.58826428589e-10
77,1,16,3.28716607192e-10
78,1,17,4.16149409958e-11
79,1,18,3.40577904539e-11
80,1,19,1.76252020495e-10
81,1,20,6.2930298622e-11
82,1,21,1.65835664753e-11
83,1,22,3.31835295218e-11
84,1,23,3.27998761256e-10
85,1,24,3.29043769966e-10
86,1,25,1.61902696625e-11
87,1,26,5.86115438635e-12
88,1,27,3.69998219853e-12
89,1,28,4.15911786324e-11
90,1,29,3.55535028589e-11
91,1,30,1.00517386501e-10
92,1,31,4.35614205761e-10
93,1,32,4.44235238271e-10
94,1,33,7.67975519375e-12
95,1,34,4.89265435142e-12
96,1,35,6.63784486451e-11
97,1,36,1.05062351835e-10
98,1,37,3.56006944923e-11
99,1,38,4.24529393623e-11
100,1,39,3.77637722195e-10
101,1,40,3.96447562089e-10
102,1,41,4.2675366879e-11
103,1,42,3.44359372159e-11
104,1,43,2.4063690465e-10
105,1,44,9.8869316042e-11
106,1,45,3.57445459803e-11
107,1,46,3.15276032996e-11
108,1,47,3.89957251979e-10
109,1,48,3.67693236968e-10
110,1,49,8.9582918172e-11
111,1,50,3.47841924079e-11
112,1,51,5.5616550641e-10
113,1,52,4.70317977942e-10
114,1,53,4.30162611375e-11
115,1,54,3.59671476596e-11
116,1,55,3.23137848246e-10
117,1,56,4.09190493171e-10
118,1,57,3.28191456291e-10
119,1,58,3.34177574489e-10
120,1,59,4.28379280264e-10
121,1,60,3.76936767973e-10
122,1,61,4.14468152533e-10
123,1,62,3.52234806113e-10
124,1,63,3.62730031691e-10
125,2,3,6.88313451763e-10
126,2,4,6.22312280085e-10
127,2,5,5.88243050247e-10
128,2,6,1.91284665202e-11
129,2,7,2.85785927708e-12
130,2,8,9.50692037213e-12
131,2,9,0.1
132,2,10,5.10069596436e-10
133,2,11,8.96661351617e-12
134,2,12,9.85859763511e-12
135,2,13,2.86867104231e-10
136,2,14,5.00446493128e-10
137,2,15,2.09812609599e-12
138,2,16,2.04387201271e-11
139,2,17,2.96964760976e-10
140,2,18,1.16117842759e-10
141,2,19,7.91850685818e-11
142,2,20,1.35101425901e-11
143,2,21,3.37975314995e-10
144,2,22,3.83351064305e-10
145,2,23,2.04986934942e-11
146,2,24,9.48725901186e-12
147,2,25,4.26133181609e-11
148,2,26,1.62361590733e-10
149,2,27,1.13481976102e-10
150,2,28,1.31227893695e-10
151,2,29,4.94918863185e-10
152,2,30,9.63031852132e-11
153,2,31,1.19003406405e-12
154,2,32,5.26508007362e-12
155,2,33,9.05049625694e-11
156,2,34,7.6526534853e-11
