pattern_id,pattern_label,n_trials,exact_recall_fraction,mean_input_hamming,mean_final_hamming,max_final_hamming,stable_fraction,max_residual,worst_max_real_eig
0,digit_0_synthetic_prototype,1,1.0,1.0,0.0,0,1.0,1.4718097065305434e-15,-0.7955864890259263
1,digit_1_synthetic_prototype,1,0.0,3.0,2.0,2,1.0,1.5132213628806298e-15,-0.7955864905281747
2,digit_2_synthetic_prototype,1,0.0,3.0,3.0,3,1.0,1.5492143270779878e-15,-0.7955864895294418
3,digit_3_synthetic_prototype,1,0.0,5.0,3.0,3,1.0,1.4930511007885512e-15,-0.7955864897596399
4,digit_4_synthetic_prototype,1,1.0,1.0,0.0,0,1.0,1.5661095609205806e-15,-0.7955864899183945
5,digit_5_synthetic_prototype,1,0.0,4.0,3.0,3,1.0,1.5185201525590696e-15,-0.7955864895047676
6,digit_6_synthetic_prototype,1,1.0,0.0,0.0,0,1.0,1.4827970206833187e-15,-0.7955864892907727
7,digit_7_synthetic_prototype,1,0.0,4.0,3.0,3,1.0,1.4734246960201105e-15,-0.7955864901957026
8,digit_8_synthetic_prototype,1,0.0,3.0,3.0,3,1.0,1.6102479181934676e-15,-0.795586489509023
9,digit_9_synthetic_prototype,1,0.0,2.0,2.0,2,1.0,1.606231667721535e-15,-0.7955864891942898
