pattern_id,pattern_label,trial,target_bits,noisy_bits,final_bits,input_hamming,final_hamming,exact_recall,residual_norm,max_real_eig,stable,x_final,y_final
0,digit_0_synthetic_prototype,0,0011110001100110011011100111011001100110011001100011110000000000,0011110001100110011011100111011001100110011001101011110000000000,0011110001100110011011100111011001100110011001100011110000000000,1,0,1,1.4718097065305434e-15,-0.7955864890259263,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
1,digit_1_synthetic_prototype,0,0001100000111000000110000001100000011000000110000011110000000000,0001100000111000000110000011100000011000000110000001110000001000,0001100000111000000110000011100000011000000110000001110000000000,3,2,0,1.5132213628806298e-15,-0.7955864905281747,1,-1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
2,digit_2_synthetic_prototype,0,0011110001100110000001100000110000110000011000000111111000000000,0011110001101110000101100000110000110000011000000101111000000000,0011110001101110000101100000110000110000011000000101111000000000,3,3,0,1.5492143270779878e-15,-0.7955864895294418,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2124356 1.2124356 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.60621778 0.60621778 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237243 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
3,digit_3_synthetic_prototype,0,0011110001100110000001100001110000000110011001100011110000000000,0011110000100011000101100001110000000110011001100011110000001000,0011110000100010000101100001110000000110011001100011110000000000,5,3,0,1.4930511007885512e-15,-0.7955864897596399,1,-1.2247449 -1.2247449 1.2124356 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2124356 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 0.60621778 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.60621778 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
4,digit_4_synthetic_prototype,0,0000110000011100001011000100110001111110000011000001111000000000,0000110000011100001011001100110001111110000011000001111000000000,0000110000011100001011000100110001111110000011000001111000000000,1,0,1,1.5661095609205806e-15,-0.7955864899183945,1,-1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
5,digit_5_synthetic_prototype,0,0111111001100000011111000000011000000110011001100011110000000000,0011111001100000011111000000011001000110011101100011110000100000,0011111001100000011111000000011001000110011101100011110000000000,4,3,0,1.5185201525590696e-15,-0.7955864895047676,1,-1.2247449 -1.2124356 1.2247449 1.2247449 1.2247449 1.2247449 1.2124356 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.60621778 0.61237244 0.61237244 0.61237244 0.61237244 0.60621778 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
6,digit_6_synthetic_prototype,0,0011110001100110011000000111110001100110011001100011110000000000,0011110001100110011000000111110001100110011001100011110000000000,0011110001100110011000000111110001100110011001100011110000000000,0,0,1,1.4827970206833187e-15,-0.7955864892907727,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
7,digit_7_synthetic_prototype,0,0111111001100110000001100000110000011000000110000001100000000000,0111111001100110010001100000100000011000000010000001100000000100,0111111001100110010001100000100000011000000010000001100000000000,4,3,0,1.4734246960201105e-15,-0.7955864901957026,1,-1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2124356 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2124356 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 0.60621778 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.60621778 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
8,digit_8_synthetic_prototype,0,0011110001100110011001100011110001100110011001100011110000000000,0011110000100110011001100001110001100110010001100011110000000000,0011110000100110011001100001110001100110010001100011110000000000,3,3,0,1.6102479181934676e-15,-0.795586489509023,1,-1.2247449 -1.2247449 1.2124356 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2124356 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2124356 -1.2124356 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 0.60621778 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.60621778 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.60621778 -0.60621778 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
9,digit_9_synthetic_prototype,0,0011110001100110011001100011111000000110011001100011110000000000,0111110001100110011001100011111000000110001001100011110000000000,0111110001100110011001100011111000000110001001100011110000000000,2,2,0,1.606231667721535e-15,-0.7955864891942898,1,-1.2247449 1.2124356 1.2247449 1.2247449 1.2247449 1.2247449 -1.2124356 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2124356 1.2124356 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449,-0.61237244 0.60621778 0.61237244 0.61237244 0.61237244 0.61237244 -0.60621778 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.60621778 0.60621778 -0.61237244 -0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 0.61237244 0.61237244 0.61237244 0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244 -0.61237244
